id	名称(name)	类型(type)	等级限制(levelLimit)	职业限制(profLimit)	出售价格(price)	配对物品(needItem)	包含物品(containItem)	宝石升级消耗(levelUpCost)	宝石升级概率(levelUpRate)	宝石升级目标(levelUpItem)	力量(strenght)	敏捷(agility)	智力(intellect)	耐力(stamina)	物品图标	升级目标最大消耗	物品描述	兑换需要熔炼值	品质	页面跳转	魂石经验	技能经验	英雄令任务	宝石类型	可镶嵌部位	宝石属性	新旧宝石功能列	宝石等级	升级宝石消耗	宝石兑换宝石卷	套装碎片卖水晶	图纸等级	部位
101001	@Item_101001	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_101001.png	0	@Item_Desc_101001	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101002	@Item_101002	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_101002.png	0	@Item_Desc_101002	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101003	@Item_101003	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_Drawing_15.png	0	@Item_Desc_101003	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101004	@Item_101004	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_101004.png	0	@Item_Desc_101004	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101101	@Item_101101	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_Soul_1.png	0	@Item_Desc_101101	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101102	@Item_101102	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_Soul_2.png	0	@Item_Desc_101102	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101103	@Item_101103	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_Soul_3.png	0	@Item_Desc_101103	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101104	@Item_101104	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_Soul_4.png	0	@Item_Desc_101104	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101105	@Item_101105	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_Soul_5.png	0	@Item_Desc_101105	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101106	@Item_101106	6	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_Soul_6.png	0	@Item_Desc_101106	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102001	@Item_102001	1	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_102001.png	0	@Item_Desc_102001	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102101	@Item_102101	17	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_102101.png	0	@Item_Desc_102101	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
102102	@Item_102102	17	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_102102.png	0	@Item_Desc_102102	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0
102103	@Item_102103	17	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_102102.png	0	@Item_Desc_102103	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0
103001	@Item_103001	11	0	0	0	0	10000_1009_1	0	0	0	0	0	0	0	Item/I_103001.png	0	@Item_Desc_103001	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103002	@Item_103002	14	30	0	0	0	10000_1012_1	0	0	0	0	0	0	0	Item/I_103002.png	0	@Item_Desc_103002	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103101	@Item_103101	26	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_103101.png	0	@Item_Desc_103101	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103102	@Item_103102	26	0	0	0	0	0	0	0	0	0	0	0	0	Item/I_103102.png	0	@Item_Desc_103102	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
